date,AA,IBM,T,VOD,^GSPC
9/1/2013,21.09210788,138.6055497,20.85358253,16.67586468,1460.940002
10/1/2013,20.69067893,138.281665,20.89297046,16.72946789,1466.660034
11/1/2013,20.5415778,139.5988414,20.79297965,16.7925438,1470.164978
14/1/2013,20.54157899,138.5659528,20.65964774,16.59071829,1468.869995
15/1/2013,20.4268851,137.8785929,20.49299346,16.50241368,1468.535034
16/1/2013,20.36953835,138.3860425,20.25360728,16.15237918,1470.779968
17/1/2013,20.51863847,139.5268052,20.07785913,16.18075555,1478.89502
18/1/2013,20.56451819,139.9227458,20.05967117,16.27536503,1480.89502
22/1/2013,20.85125227,140.3869811,20.32935719,16.32266667,1486.860046
23/1/2013,21.0347598,148.2504168,20.44753817,16.40781341,1493.015015
24/1/2013,20.88565614,146.8828635,20.55359011,16.80515325,1495.86499
25/1/2013,20.73656138,147.3039265,20.62328611,17.0038304,1499.039978
28/1/2013,20.59892586,147.7358197,20.67176921,17.03851543,1499.779968
29/1/2013,20.47276349,147.3255331,20.89297337,17.1930399,1503.719971
30/1/2013,20.34659924,146.8576944,21.0081156,17.29395244,1505.024963
31/1/2013,20.24337718,146.6273791,21.03842275,17.23719111,1500.474976
1/2/2013,20.48423328,147.2607813,21.4141619,17.24980641,1506.26001
4/2/2013,20.4039458,147.0448116,21.3535519,16.96598752,1504.095032
5/2/2013,20.42688392,146.566155,21.50204389,16.97544872,1505.334961
6/2/2013,20.54169347,144.8665603,21.38992236,16.9155317,1508.619995
7/2/2013,20.53018595,144.4111932,21.39598217,17.09212685,1505.695007
8/2/2013,20.56470937,145.199029,21.42022287,17.37594482,1513.850037
11/2/2013,20.47264631,145.1737444,21.32325074,17.23718888,1515.960022
12/2/2013,20.58772705,144.4726177,21.48385957,17.12681211,1518.950012
13/2/2013,20.86392093,144.7473151,21.55960816,16.90606503,1520.309998
14/2/2013,21.18614151,144.4075626,21.35354966,16.46457238,1518.580017
15/2/2013,21.35876123,144.9460461,21.42325129,16.44880982,1519.190002
19/2/2013,21.14010521,145.3218999,21.53233188,15.93793533,1525.36499
20/2/2013,20.51867955,144.7689971,21.64748056,15.657272,1521.174988
21/2/2013,20.04685521,143.5402236,21.39901248,15.47121429,1504.619995
22/2/2013,19.95478913,144.5340521,21.48991468,15.72349553,1509.030029
25/2/2013,19.71312263,144.559335,21.59596986,15.60366163,1506.844971
26/2/2013,19.3909044,143.7425707,21.54445641,15.53743842,1492
27/2/2013,19.5289931,145.0472415,21.62323484,15.76134103,1507.47998
28/2/2013,19.64407249,145.9724121,21.81717731,15.85909564,1519.899963
1/3/2013,19.42542648,145.3905654,21.72930139,15.96001082,1510.734985
4/3/2013,19.24129644,147.3566078,21.87171784,15.94109196,1518.780029
5/3/2013,19.33335995,149.3984674,22.18079683,16.50872638,1534.334961
6/3/2013,19.58653464,150.0345728,22.1504912,17.0795161,1541.679993
7/3/2013,19.81669342,151.0067406,22.0201951,16.93445237,1543.619995
8/3/2013,19.90875685,151.8487367,22.20503405,17.35386834,1547.709961
11/3/2013,19.86272562,151.5126624,22.1717067,17.49577704,1551.815002
12/3/2013,19.87423034,151.7222196,22.22926577,17.39486745,1552.505005
13/3/2013,19.69010445,152.5571116,22.23533986,17.20249937,1552.320007
14/3/2013,19.66709012,154.6821288,22.25958066,17.4642428,1558.919983
15/3/2013,19.73613878,155.1519042,22.10200446,17.48947426,1559.679993
18/3/2013,19.73613731,154.3677152,21.95655482,17.6187659,1552.914978
19/3/2013,19.60955008,154.2990072,21.94140812,17.86158857,1547.909973
20/3/2013,19.64407224,155.4446924,21.98383301,17.75121413,1554.950012
21/3/2013,19.55201043,152.9113003,21.89898215,17.53992408,1551.130005
22/3/2013,19.47145521,153.5183876,22.02928005,17.68183942,1551.820007
25/3/2013,19.390899,152.820946,22.0868579,17.99718617,1555.565002
26/3/2013,19.36788335,153.2329262,22.15654925,17.9656549,1557.819946
27/3/2013,19.39090326,152.6040782,22.20806098,17.7259861,1557.984985
28/3/2013,19.51748508,152.9365646,22.22018688,17.91204643,1565.679993
1/4/2013,19.41391549,153.5039508,22.43230042,17.92150486,1564.519958
2/4/2013,19.20677178,154.0569132,22.72925189,18.50490947,1567.915039
3/4/2013,19.01114023,154.5050056,22.66864767,17.9278137,1560.63501
4/4/2013,19.09169091,152.8606933,22.81106613,17.6944542,1557.559998
5/4/2013,18.87304156,150.4068037,22.92015387,17.65976383,1549.73999
8/4/2013,19.11470842,150.5766526,23.08121974,17.84582172,1555.849976
9/4/2013,19.3103437,151.2849783,23.12108934,18.15802211,1567.405029
10/4/2013,19.29883745,152.8643127,23.32347356,18.29992864,1578.839966
11/4/2013,19.18375679,153.2112638,23.59638718,18.44499254,1591.76001
12/4/2013,18.97661176,152.2463501,23.63012138,18.53013452,1586.63501
15/4/2013,18.61986276,152.1306577,23.44612918,18.38822757,1570.559998
16/4/2013,18.71192833,152.2210239,23.36639892,18.41660976,1563.85498
17/4/2013,18.42423142,152.0005456,23.16708863,18.20532083,1559.129944
18/4/2013,18.38970698,150.4863255,23.24681283,18.70988999,1545.205017
19/4/2013,18.53931177,139.5937424,23.3418715,18.63105297,1547.64502
22/4/2013,18.57384055,136.9916765,23.64238445,18.73196461,1556.869995
23/4/2013,18.65438561,137.7506221,23.71903962,18.74457913,1571.039978
24/4/2013,19.06868069,138.6287838,22.65805279,18.64996915,1579.400024
25/4/2013,19.37939156,140.038278,22.84816855,19.14822765,1585.785034
26/4/2013,19.12622032,140.208106,22.75004744,19.26805919,1581.670044
29/4/2013,19.22978855,142.5102247,22.80217245,19.31851777,1589.494995
30/4/2013,19.36788422,144.5376816,22.96776488,19.21129745,1592.034973
1/5/2013,19.37938914,145.0544918,23.13028241,19.2964421,1589.415039
2/5/2013,19.40240677,145.3472119,23.0750861,18.9842448,1590.684998
3/5/2013,19.79367513,147.8372141,23.02909278,19.06938964,1608.029968
6/5/2013,19.93177421,146.5506601,22.81443736,19.06308517,1616.98999
7/5/2013,19.97780569,146.5036541,22.87883106,19.0473194,1621.335022
8/5/2013,20.17343925,147.9092813,23.06281565,18.9716315,1627.73999
9/5/2013,20.35737452,148.0399984,22.99229421,18.86756522,1629.049988
10/5/2013,20.09179016,147.9056709,22.90643101,18.89909987,1628.704956
13/5/2013,19.84930375,147.6660514,22.77150937,18.7603474,1631.369995
14/5/2013,19.74538365,147.3247164,22.71937758,18.62474147,1642.424988
15/5/2013,19.62991241,147.3138023,23.03522696,18.80449293,1654.085022
16/5/2013,19.64145975,149.0820999,22.98309556,19.02208987,1654.554993
17/5/2013,19.87239813,150.4981306,22.8941648,18.99370518,1659.959961
20/5/2013,20.06869711,151.2533955,22.86656903,18.95586284,1668.179993
21/5/2013,20.23035431,151.2206693,22.70404604,19.08831044,1668.800049
22/5/2013,20.21880967,151.1444312,22.57525256,18.6878134,1668.02002
23/5/2013,19.71073698,150.2257801,22.43419805,18.38507448,1645.515015
24/5/2013,19.66455259,149.1764574,22.4556653,18.56797538,1643.330017
28/5/2013,19.76847394,150.9556309,22.48019841,18.78557075,1663.419983
29/5/2013,19.88394611,150.4872426,21.94356898,18.46075903,1648.309998
30/5/2013,19.65300858,151.7580637,21.94969609,18.56482599,1655.26001
31/5/2013,19.71074102,152.4987708,21.61238807,18.38507375,1644.86499
3/6/2013,19.6530032,151.5474936,21.40080739,18.23370557,1631.570007
4/6/2013,19.49134857,150.3492657,21.77797899,18.4639129,1635.075012
5/6/2013,19.0871997,148.3922023,21.76264483,18.23685744,1618.200012
6/6/2013,18.98327525,147.2956888,21.75957828,18.4891399,1610.39502
7/6/2013,19.11030006,149.0349071,21.9036965,18.77296169,1634.835022
10/6/2013,19.19111954,149.5504989,22.01716159,18.80449492,1643.974976
11/6/2013,19.0641063,148.3086824,22.05396104,18.82656965,1631.525024
12/6/2013,19.01791859,147.3211105,21.98956761,18.60016964,1624.315002
13/6/2013,18.97173002,146.9579748,22.07848903,18.4269477,1623.659973
14/6/2013,18.94863468,147.6151702,22.13982206,18.52499948,1632.380005
17/6/2013,18.83317234,148.0399957,21.96196639,18.81587847,1638.419983
18/6/2013,18.8447163,148.4902716,22.12141488,18.82241764,1646.97998
19/6/2013,18.85626701,147.7640409,21.89143714,18.46616746,1640.679993
20/6/2013,18.53294779,144.8665904,21.31800939,18.0380135,1604.469971
21/6/2013,18.57913161,142.3539371,21.1064215,17.84191334,1588.444946
24/6/2013,18.10570497,140.2444451,21.15242474,17.80596008,1574.549988
25/6/2013,18.19808365,141.1484882,21.38854118,18.18835796,1585.440002
26/6/2013,18.10570511,141.8710394,21.64305506,18.3975333,1599.549988
27/6/2013,18.04797077,142.4011854,21.90983621,18.55767792,1613.254944
28/6/2013,18.08261448,138.3636045,21.77184418,18.72109962,1608.5
1/7/2013,18.11725351,139.7615155,21.73197966,18.78973087,1618.195007
2/7/2013,18.04797254,139.2422733,21.7565112,18.7864653,1615.515015
3/7/2013,17.72465807,139.69253,21.7534514,18.72436801,1611.769958
5/7/2013,17.8632182,140.7019025,21.81783797,18.7668544,1623.389954
8/7/2013,18.1749899,141.7475937,22.07359856,18.79300308,1639.440002
9/7/2013,18.23271869,139.2749726,22.16366688,18.79953835,1648.535034
10/7/2013,18.22117741,139.6816414,22.02702824,18.76358471,1652.790039
11/7/2013,18.57913303,140.4150692,22.26303549,19.04793305,1667.02002
12/7/2013,18.65996163,139.8958045,22.19471822,19.21135245,1676.259949
15/7/2013,18.77543237,140.3605969,22.05496495,19.22442314,1681.200012
16/7/2013,18.76389014,140.6111375,22.20403028,19.19174034,1677.784973
17/7/2013,18.85625998,140.8507688,22.42452291,19.17212868,1681.330017
18/7/2013,18.97173334,144.1222346,22.23509348,19.05120419,1687.085022
19/7/2013,18.7869783,142.0526493,22.16366291,19.26037396,1688.084961
22/7/2013,18.71769351,141.2683118,22.18229032,19.43359366,1694.140015
23/7/2013,18.83316877,141.7984264,22.18850716,19.45647831,1694.955017
24/7/2013,18.64841501,142.7533771,21.87174763,19.40091033,1690.474976
25/7/2013,18.52139988,142.8731878,21.96491485,19.42052368,1685.504944
26/7/2013,18.52139784,142.4665496,22.05187015,19.42052597,1683.940002
29/7/2013,18.54449124,142.593634,22.2257684,19.51530506,1686.390015
