date,AAP,FB,GOOG,MSFT,^DJI
8/3/2013,73.99406874,28.09999943,413.4428101,23.66220124,14371.33008
11/3/2013,75.01591912,28.23499966,416.2398224,23.38896636,14410.68994
12/3/2013,74.84643657,27.96000004,412.3444366,23.36794696,14445.42969
13/3/2013,75.63098665,27.28499985,411.7068329,23.44361819,14442.22998
14/3/2013,75.78110117,27.13000011,409.5598602,23.57812504,14497.28516
15/3/2013,76.03293325,26.80999947,406.884903,23.59914001,14504.81982
18/3/2013,77.37441393,26.2850008,402.0505219,23.57812664,14462.8999
19/3/2013,77.82965481,26.55499935,404.9073181,23.64538738,14448.21484
20/3/2013,77.78621889,26.23500061,405.7167816,23.82193733,14501.32031
21/3/2013,77.82017798,25.83500004,405.1738129,23.71264072,14447.375
22/3/2013,77.25795373,25.81999969,404.703064,23.72525341,14470.72021
25/3/2013,77.67476267,25.43999958,404.9944763,23.67060669,14479.375
26/3/2013,78.59557652,25.25500011,403.9334564,23.72945797,14504.64502
27/3/2013,78.8330686,25.5,400.5810242,23.76308381,14499.6001
28/3/2013,79.65699996,25.84500027,398.1750488,23.92702763,14552.97998
1/4/2013,79.81690109,25.58500004,397.385498,23.96906403,14568.6001
2/4/2013,79.59882416,25.71000004,403.196228,24.1161892,14628.66992
3/4/2013,79.70059578,26.04500008,402.2099152,24.1666341,14604.24512
4/4/2013,79.91867418,26.67000008,397.7715607,23.9102134,14581.97998
5/4/2013,78.69252645,27.20499992,389.3879852,23.91441643,14520.27002
8/4/2013,78.27088243,26.91499996,385.5423889,24.04472637,14555.64014
9/4/2013,76.80240148,26.65499973,387.7615814,24.59120221,14657.47998
10/4/2013,77.9558857,27.36999989,390.6233521,25.15448427,14750.06006
11/4/2013,79.56973764,27.67500019,392.817627,24.35159565,14836.43506
12/4/2013,80.01564056,27.61999989,392.2871094,24.24650719,14827.89014
15/4/2013,78.60529061,26.92000008,392.035553,24.16663498,14731.81982
16/4/2013,77.91708406,26.75500011,393.5050507,24.31375741,14680.46533
17/4/2013,77.20468959,26.79500008,390.7702942,24.2296896,14658.79492
18/4/2013,76.89932259,25.98499966,385.3207092,24.16243438,14572.7749
19/4/2013,76.89932107,25.6449995,390.9595947,25.15869157,14498.88037
22/4/2013,76.92357657,26.03000069,393.2659454,25.83127041,14523.21484
23/4/2013,77.91224364,26.05000019,402.4564972,25.75980537,14637.85498
24/4/2013,78.46474481,26.09999943,404.9820251,26.28105931,14706.97998
25/4/2013,80.48087896,26.19999981,404.5088043,27.06293006,14716.75
26/4/2013,80.32095571,27.11000061,399.5822601,26.6635838,14714.15527
29/4/2013,80.61657613,27.13500023,404.9073029,27.09235548,14778.75488
30/4/2013,80.57780866,27.43000031,409.7939911,27.48749518,14787.13477
1/5/2013,81.6197985,27.61499977,408.7379608,27.6094043,14763.4248
2/5/2013,81.86213856,28.5,411.8562622,27.55895692,14767.79004
3/5/2013,82.33222459,28.60999966,419.1289978,27.99613799,14920.58496
6/5/2013,81.94453361,27.96999931,425.931015,28.23153695,14964.97998
7/5/2013,82.5406436,27.35000038,427.0343781,28.17689182,15012.77979
8/5/2013,82.62302868,26.97499943,430.085434,27.6976772,15064.33984
9/5/2013,82.53095089,27.19999981,435.3407288,27.57157071,15095.8501
10/5/2013,82.62786835,26.93499947,436.5387421,27.34036995,15078.33496
13/5/2013,81.92512556,26.93000031,437.3233032,27.58417567,15083.43994
14/5/2013,82.96713743,27.05000019,439.8089905,28.07815276,15154.4248
15/5/2013,83.34029864,26.69499969,450.9098816,28.50146224,15238.36475
16/5/2013,83.3402939,26.22499943,453.7965546,28.65809556,15259.15527
17/5/2013,83.34518598,26.40000057,451.8090057,29.19569374,15296.0752
20/5/2013,83.5293447,25.94000053,454.6956787,29.53857629,15352.99512
21/5/2013,85.19650479,25.83500004,450.6284332,29.62746733,15380.08984
22/5/2013,83.7861831,25.38500023,447.3706512,29.29305872,15404.18018
23/5/2013,81.7312869,25.15000057,439.3432312,28.97557058,15264.32031
24/5/2013,81.00430808,24.52499962,435.8239288,28.86128379,15253.16992
28/5/2013,81.13033145,24.2300005,441.4802246,29.45814792,15414.41016
29/5/2013,80.10770296,23.53499985,433.9434662,29.45814396,15314.89014
30/5/2013,79.71028155,24.3550005,434.6981506,29.65709848,15339.84521
31/5/2013,79.78782526,24.61000061,434.5013733,29.6613294,15253.9751
3/6/2013,78.93485513,24.01499939,430.6333771,29.82642629,15188.83008
4/6/2013,80.09803009,23.625,429.5549164,29.84758757,15202.88037
5/6/2013,79.71031612,23.25,430.0331268,29.34386011,15057.1001
6/6/2013,79.90900812,22.88000011,426.787796,29.46238188,14942.41992
7/6/2013,81.28055336,23.13000011,434.7006378,29.98728306,15150.02002
10/6/2013,81.5907223,24.29500008,441.1190796,29.96611825,15255.94482
11/6/2013,80.45664921,24.17500019,439.9808502,29.57244037,15168.58008
12/6/2013,80.18526819,23.92000008,437.2734985,29.68250109,15111.24512
